rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
152,modified,0.1,0.25,11.494638587224744,0.4,0.8471069202273906,-0.14283641033821226,-0.14283641033821226,0.06763256718046494,0.0,153,False,0.06535947712418301
153,modified,0.1,0.25,15.69671038202638,0.4,0.8000669662073319,0.08864368422333076,0.08864368422333076,0.060335824789137384,0.0,146,False,0.0684931506849315
154,modified,0.1,0.25,14.095305935883646,0.3,0.757784449701512,0.05649326624409642,0.05649326624409642,0.05388233091663509,0.0,136,False,0.07352941176470588
155,modified,0.1,0.25,16.099720924324547,0.5,0.783268211732552,0.3328746985088046,0.3328746985088046,0.05768257940371715,0.0,136,False,0.07352941176470588
156,modified,0.1,0.25,9.229984960773086,0.6,0.8118900249134219,0.14605967759281477,0.14605967759281477,0.06148598393117867,0.0,155,False,0.06451612903225806
157,modified,0.1,0.25,9.54835001339229,0.4,0.8360849707759239,-0.14964870286063406,-0.14964870286063406,0.06416467302462887,0.0,155,False,0.06451612903225806
158,modified,0.1,0.25,7.570646584445795,0.2,0.8639855590831633,-0.22958982545583959,-0.22958982545583959,0.0712201647636019,0.0,148,False,0.06756756756756757
159,modified,0.1,0.25,10.668802555828831,0.1,0.7134795464650663,-0.07767799237962528,-0.07767799237962528,0.04969829953299123,0.0,137,False,0.06521739130434782
160,modified,0.1,0.25,9.730191938656503,0.3,0.7541465726324973,-0.19674944665980304,-0.19674944665980304,0.053852454018879115,0.0,154,False,0.06493506493506493
161,modified,0.1,0.25,6.0940374645369815,0.5,1.0106779922822018,0.0554371684030119,0.0554371684030119,0.09384407252160193,0.0,167,False,0.059880239520958084
162,modified,0.1,0.25,9.864367344844814,0.5,0.8807922154497472,-0.045598432472465866,-0.045598432472465866,0.07494061683663471,0.0,149,False,0.06
163,modified,0.1,0.25,9.104372493530652,0.7,0.800985180531516,0.08429857108769657,0.08429857108769657,0.05934408348490566,0.0,143,False,0.06993006993006994
164,modified,0.1,0.25,9.712198098724954,0.4,0.8595066643966367,-0.2895045589051528,-0.2895045589051528,0.06809221456812661,0.0,150,False,0.06666666666666667
165,modified,0.1,0.25,9.800682107266908,0.3,0.867323813000846,-0.15403943554647276,-0.15403943554647276,0.07010388576794675,0.0,147,False,0.06802721088435375
166,modified,0.1,0.25,14.976458856145502,0.2,0.7725519377847556,-0.10300689144094718,-0.10300689144094718,0.05606056253841159,0.0,141,False,0.07092198581560284
167,modified,0.1,0.25,14.34793877058146,0.3,0.7485167417387242,0.015605517513171107,0.015605517513171107,0.05228378306292707,0.0,135,False,0.07407407407407407
168,modified,0.1,0.25,9.877480806770592,0.5,0.9028306275049305,0.03461208874264752,0.03461208874264752,0.07652276230225402,0.0,152,False,0.06578947368421052
169,modified,0.1,0.25,17.620103983770576,0.8,0.7578870373982841,-0.12269236653894403,-0.12269236653894403,0.052101842902298766,0.0,133,False,0.07518796992481203
170,modified,0.1,0.25,7.676452707391564,0.2,0.9234245778364016,-0.19805250383944534,-0.19805250383944534,0.08095274336463026,0.0,171,False,0.05847953216374269
